评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
HollyM,Cute as pictured!,https://www.amazon.com/gp/customer-reviews/R9HAVNE2DFRX2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 11, 2024",Size: X-LargeColor: 6 Khaki,Verified Purchase,"I like long, loose-fitting, flowing tops as featured and this is soft, super comfortable, and the style is cute imo. Happy with product. Hope it lasts with regular laundering and wear. Decent thickness and decent quality.",3
Rhiannon,Item was used/worn/stained,https://www.amazon.com/gp/customer-reviews/R2FHBO7ALRKSBJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," November 5, 2024",Size: LargeColor: 7 Dark Grey,Verified Purchase,"Received this shirt, which is super cute by the way, but it had no tags and had literal crusted food stains on the sleeve!!",6
Amazon Customer,Cute sweater!,https://www.amazon.com/gp/customer-reviews/RJRQ7KK6T1UA4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," November 5, 2024",Size: SmallColor: 2 Green,Verified Purchase,"Ordered a small since it looked loose fitted, glad I did. Normally wear a medium, 5’ 3” and 149 lbs but got a small due to the loose fit. Perfect length, and material is not To thin and not too thick.",4
Amazon Customer,Perfect weight for fall,https://www.amazon.com/gp/customer-reviews/RCLB0T3HFL23T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 31, 2024",Size: XX-LargeColor: 8 Chicory Coffee,Verified Purchase,"This top is so comfy. Not too sheer, not too heavy and it is long enough for a tall person - I am 5'9"". Will be buying more colors.",5
Courtney | Flying_Through_Books,Very cheap material,https://www.amazon.com/gp/customer-reviews/R2QSXCHFB0K8A2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," October 28, 2024",Size: MediumColor: 1 Red,Verified Purchase,"I sent this back because it just felt so cheap. I wear a lot of Amazon clothes and know I get what I pay for, but this wasn’t it. It was also very see through and wrinkled.",
joyce lawton,Fall wardrobe,https://www.amazon.com/gp/customer-reviews/R2B8LJACYAZL0J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 27, 2024",Size: XX-LargeColor: 8 Chicory Coffee,Verified Purchase,"Fall wardrobe needed an update. Live this  oversize top. Light, comfortable and lots of color choices. I’ll be going back for more",
Kathleen M. Bode,Comfy oversized,https://www.amazon.com/gp/customer-reviews/R2VCOXMHP7OQWR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 23, 2024",Size: XX-LargeColor: 5 White,Verified Purchase,Very comfy oversized shirt to wear with jeans or leggings. I bought a large and returned to get Xl so it would be oversize.,
Elizabeth,Comfortable,https://www.amazon.com/gp/customer-reviews/R3SBVYQ8E7I8ZU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 22, 2024",Size: LargeColor: 2 Green,Verified Purchase,Very comfortable shirt I bought big and it is great to wear over leggings,
AShelton,Lightweight and perfect for fall!,https://www.amazon.com/gp/customer-reviews/R1VCZK7A0RB4KU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 21, 2024",Size: X-LargeColor: 2 Green,Verified Purchase,"True to size, I did size up 1 for a more comfortable length to wear with leggings.",8
"The pink and khaki run larger. I ordered two of these in a large and they fit perfectly, but for some reason when I ordered the pink and khaki one in the same size they were like a dress.",They run large,https://www.amazon.com/gp/customer-reviews/R1953X7BVCIJ4W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," October 21, 2024",Size: LargeColor: 9 Rose Red,Verified Purchase,The rose red and khaki run big,
Joy,Best sweater ive ever owned i love it so much,https://www.amazon.com/gp/customer-reviews/R129OLV42ZH0BQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 20, 2024",Size: XX-LargeColor: 4 Black,Verified Purchase,"Its not too hot, hangs beautifully, super comfy and oversized, love love love cant wait to buy a second one",2
Jessica H.,Very comfortable but too long,https://www.amazon.com/gp/customer-reviews/R2XCIC2679G9AF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"3.0 "," the United States "," October 12, 2024",Size: MediumColor: 6 Khaki,Verified Purchase,"Good material and cute, but too long. I am tall already and it looks like a dress on me.",
Katherine,Super cute,https://www.amazon.com/gp/customer-reviews/R21GDOFT35503N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 11, 2024",Size: X-LargeColor: 2 Green,Verified Purchase,Love it! Perfect for fall weather,
Amazon Customer,Love the texture and fit!,https://www.amazon.com/gp/customer-reviews/R3JR3WLXANSFNO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 9, 2024",Size: SmallColor: 1 Red,Verified Purchase,Great top for fall/winter to pair with leggings. Covers the butt and is loose fitting. Waffle texture and color are super cute! Sized small fit me great.,9
kari Schlimgen,Love this top!,https://www.amazon.com/gp/customer-reviews/R94H0CB8ZAATV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 8, 2024",Size: LargeColor: 2 Green,Verified Purchase,Love it. Going to order some more colors.  I’ve gotten so many compliments on it!,
Shelliott62,Wow! So Comfy!,https://www.amazon.com/gp/customer-reviews/R1Y2A99Z1XUOYF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 8, 2024",Size: XX-LargeColor: 6 Khaki,Verified Purchase,"Wow! I love this top, like really love it.  I bought a red one too and will be buying more colors.  It’s comfy, not heavy, and has the perfect amount of baggy!",
Amazon Customer,Snags easily,https://www.amazon.com/gp/customer-reviews/R223GW23NVKCNF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"3.0 "," the United States "," October 4, 2024",Size: MediumColor: 1 Red,Verified Purchase,"I bought this sweater in red and loved the color, fit, and soft fabric. However, I was disappointed to find that it snagged twice on the very first day I wore it.",7
Silli,Not real waffle knit..............,https://www.amazon.com/gp/customer-reviews/R32VKL0N0RGKEH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," October 4, 2024",Size: LargeColor: 6 Khaki,Verified Purchase,"Although I'll keep this top, it's not real waffle knit material. It's got a stretchy spongy type texture to the material. I'll keep it, but, I also should've ordered an XL instead of the Large. I thought it might be too baggy like the picture, but it wasn't. I viewed photos and went by those. I am 5'5"" weight 195 lbs., and have a 46 bust. It fits, but actually needed it to be a little more slouchy. If you want a just fitted look order down, but want a little baggier look, read their chart to get the baggier look according to your measurements.",
Matthew Samler,Color discrepancy,https://www.amazon.com/gp/customer-reviews/R1SOQGYS2CFOH4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 3, 2024",Size: MediumColor: 1 Red,,"Just FYI… The khaki color is a bit lighter than pictured (almost cream), the red is pretty accurate and the chicory coffee is a touch on the mauve side. I now own two and absolutely love them. I Typically wear medium and I believe it is intended to fit oversized.",
Seana W.,Super cute,https://www.amazon.com/gp/customer-reviews/R1M27D0980RRYX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," October 2, 2024",Size: MediumColor: 1 Red,Verified Purchase,Super cute and fits perfectly. It's a thin material so don't expect it to keep you warm in winter. I love the length. Color matches what I ordered.,2
Marisa D,Sleeves are a bit short,https://www.amazon.com/gp/customer-reviews/R1YRWSQUE8WGBP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," September 23, 2024",Size: MediumColor: 8 Chicory Coffee,Verified Purchase,"I love the color and fabric of this top.  It's the perfect weight for fall.  The length is sufficient, hitting me just below the waist.  However the arms are a bit short for me, about 3/4 length.  I just roll them up past my elbow.",2
MICHAEL,Nice med heavy..,https://www.amazon.com/gp/customer-reviews/R1RR7S3I2CNWOY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," September 22, 2024",Size: MediumColor: 4 Black,Verified Purchase,Ordered lg as most things I ordered were to small as I wear med usually. It is true to size. Is big but perfect for layering with tank top. Will be comfy in fall/winter with straight leg pants.,
Lindsay Faagata,Soo comfy,https://www.amazon.com/gp/customer-reviews/R3GYWL2WU5LN2G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," September 22, 2024",Size: X-LargeColor: 1 Red,Verified Purchase,It’s a little see through so wear a tank top under it,
Amazon Customer,Well worth the $$$$,https://www.amazon.com/gp/customer-reviews/ROZYEQ58809SW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," September 20, 2024",Size: X-LargeColor: 5 White,Verified Purchase,"This top is perfect!  It is true to size. The fabric is substantial, but not too heavy.  Covers the hips and has just enough fabric to cover your bottom without looking droopy.",
